area_id,house_address,floor_count,heating_house_type,heating_value,area_residential,population
area_1,"ул. Гагарина, д. 67",20,a+,381.32,1833.7,439
area_4,"ул. Советская, д. 84",11,a+,820.28,1278.54,259
area_4,"ул. Кирова, д. 7",15,G,608.9,307.21,84
area_1,"ул. Ленина, д. 51",2,f,863.73,2271.41,223
area_2,"ул. Кирова, д. 31",19,a+,321.65,2194.67,119
area_1,"ул. Советская, д. 7",5,F,54.46,297.25,374
area_2,"ул. Советская, д. 46",11,a+,269.4,485.36,71
area_5,"ул. Гагарина, д. 23",3,f,677.47,799.49,56
area_2,"ул. Пушкина, д. 15",20,D,465.14,3954.44,192
area_5,"ул. Кирова, д. 24",3,a++,889.46,1834.55,367
area_1,"ул. Гагарина, д. 4",19,a++,277.15,3144.75,232
area_4,"ул. Советская, д. 24",4,g,619.9,3738.94,142
area_5,"ул. Ленина, д. 29",9,A+,67.46,1298.5,397
area_5,"ул. Гагарина, д. 80",19,a+,202.78,460.51,263
area_5,"ул. Гагарина, д. 38",14,a+,55.6,2284.76,338
area_1,"ул. Гагарина, д. 14",20,A,40.07,422.62,123
area_4,"ул. Пушкина, д. 43",14,c,615.25,636.99,157
area_5,"ул. Гагарина, д. 64",19,A+,492.11,4336.86,57
area_1,"ул. Гагарина, д. 30",1,A+,391.75,485.51,489
area_2,"ул. Гагарина, д. 48",8,A+,250.68,2427.47,122
area_3,"ул. Пушкина, д. 36",15,E,553.1,3899.02,266
area_5,"ул. Пушкина, д. 21",9,D,497.37,4587.92,17
area_2,"ул. Гагарина, д. 57",8,A,502.95,927.22,461
area_3,"ул. Советская, д. 78",1,c,84.67,378.12,364
area_2,"ул. Гагарина, д. 85",15,c,883.5,2009.27,143
area_2,"ул. Кирова, д. 22",12,f,318.57,4396.48,369
area_3,"ул. Гагарина, д. 16",2,f,489.09,4108.84,12
area_5,"ул. Ленина, д. 88",16,E,583.23,4806.9,130
area_4,"ул. Гагарина, д. 80",5,B,316.99,1440.71,122
area_1,"ул. Кирова, д. 73",3,A++,953.53,2115.59,404
area_1,"ул. Гагарина, д. 45",19,B,142.12,4194.74,456
area_2,"ул. Гагарина, д. 34",15,B,147.19,2781.56,227
area_5,"ул. Советская, д. 58",16,A++,960.9,1669.19,81
area_4,"ул. Советская, д. 39",11,A,193.44,1072.67,103
area_5,"ул. Кирова, д. 76",10,B,647.87,4713.65,143
area_1,"ул. Пушкина, д. 21",9,C,137.34,823.36,304
area_1,"ул. Ленина, д. 17",9,A,222.86,761.63,421
area_4,"ул. Советская, д. 98",4,A++,270.93,2671.43,198
area_3,"ул. Гагарина, д. 82",11,G,272.76,3123.92,291
area_5,"ул. Кирова, д. 51",19,a+,677.23,2038.05,99
area_3,"ул. Пушкина, д. 75",4,A++,967.74,3491.39,47
area_1,"ул. Советская, д. 92",6,a,77.59,2048.96,274
area_4,"ул. Советская, д. 31",5,C,110.02,2475.37,75
area_2,"ул. Гагарина, д. 70",12,F,229.55,1869.72,366
area_1,"ул. Гагарина, д. 73",15,A++,29.71,4868.25,51
area_5,"ул. Ленина, д. 89",1,e,923.38,4347.71,9
area_1,"ул. Пушкина, д. 23",3,f,519.96,4338.52,204
